('frequent itemsets for pass=', 1, ['a', 'b', 'c', 'd', 'e', 'f', 'g'])
('ele', ('a', 'd'), 'hashkey=', 0, 'hashCount=', 1)
('ele', ('e', 'k'), 'hashkey=', 11, 'hashCount=', 3)
('ele', ('e', 'l'), 'hashkey=', 12, 'hashCount=', 1)
('ele', ('f', 'i'), 'hashkey=', 10, 'hashCount=', 5)
('ele', ('f', 'j'), 'hashkey=', 11, 'hashCount=', 4)
('ele', ('f', 'k'), 'hashkey=', 12, 'hashCount=', 2)
('ele', ('f', 'l'), 'hashkey=', 13, 'hashCount=', 1)
('ele', ('i', 'j'), 'hashkey=', 14, 'hashCount=', 1)
('ele', ('i', 'k'), 'hashkey=', 15, 'hashCount=', 1)
('ele', ('i', 'l'), 'hashkey=', 16, 'hashCount=', 1)
('ele', ('j', 'k'), 'hashkey=', 16, 'hashCount=', 2)
('ele', ('j', 'l'), 'hashkey=', 17, 'hashCount=', 1)
('ele', ('k', 'l'), 'hashkey=', 18, 'hashCount=', 7)
('ele', ('b', 'c'), 'hashkey=', 0, 'hashCount=', 7)
('ele', ('b', 'd'), 'hashkey=', 1, 'hashCount=', 7)
('ele', ('b', 'e'), 'hashkey=', 2, 'hashCount=', 7)
('ele', ('b', 'f'), 'hashkey=', 3, 'hashCount=', 11)
('ele', ('b', 'g'), 'hashkey=', 4, 'hashCount=', 11)
('ele', ('b', 'i'), 'hashkey=', 6, 'hashCount=', 8)
('ele', ('b', 'j'), 'hashkey=', 7, 'hashCount=', 4)
('ele', ('b', 'k'), 'hashkey=', 8, 'hashCount=', 6)
('ele', ('b', 'l'), 'hashkey=', 9, 'hashCount=', 5)
('ele', ('c', 'd'), 'hashkey=', 2, 'hashCount=', 8)
('ele', ('c', 'e'), 'hashkey=', 3, 'hashCount=', 12)
('ele', ('c', 'f'), 'hashkey=', 4, 'hashCount=', 12)
('ele', ('c', 'g'), 'hashkey=', 5, 'hashCount=', 8)
('ele', ('c', 'i'), 'hashkey=', 7, 'hashCount=', 5)
('ele', ('c', 'j'), 'hashkey=', 8, 'hashCount=', 7)
('ele', ('c', 'k'), 'hashkey=', 9, 'hashCount=', 6)
('ele', ('c', 'l'), 'hashkey=', 10, 'hashCount=', 6)
('ele', ('d', 'e'), 'hashkey=', 4, 'hashCount=', 13)
('ele', ('d', 'f'), 'hashkey=', 5, 'hashCount=', 9)
('ele', ('d', 'g'), 'hashkey=', 6, 'hashCount=', 9)
('ele', ('d', 'i'), 'hashkey=', 8, 'hashCount=', 8)
('ele', ('d', 'j'), 'hashkey=', 9, 'hashCount=', 7)
('ele', ('d', 'k'), 'hashkey=', 10, 'hashCount=', 7)
('ele', ('d', 'l'), 'hashkey=', 11, 'hashCount=', 5)
('ele', ('e', 'f'), 'hashkey=', 6, 'hashCount=', 10)
('ele', ('e', 'g'), 'hashkey=', 7, 'hashCount=', 6)
('ele', ('e', 'i'), 'hashkey=', 9, 'hashCount=', 8)
('ele', ('e', 'j'), 'hashkey=', 10, 'hashCount=', 8)
('ele', ('e', 'k'), 'hashkey=', 11, 'hashCount=', 6)
('ele', ('e', 'l'), 'hashkey=', 12, 'hashCount=', 3)
('ele', ('f', 'g'), 'hashkey=', 8, 'hashCount=', 9)
('ele', ('f', 'i'), 'hashkey=', 10, 'hashCount=', 9)
('ele', ('f', 'j'), 'hashkey=', 11, 'hashCount=', 7)
('ele', ('f', 'k'), 'hashkey=', 12, 'hashCount=', 4)
('ele', ('f', 'l'), 'hashkey=', 13, 'hashCount=', 2)
('ele', ('g', 'i'), 'hashkey=', 11, 'hashCount=', 8)
('ele', ('g', 'j'), 'hashkey=', 12, 'hashCount=', 5)
('ele', ('g', 'k'), 'hashkey=', 13, 'hashCount=', 3)
('ele', ('g', 'l'), 'hashkey=', 14, 'hashCount=', 2)
('ele', ('i', 'j'), 'hashkey=', 14, 'hashCount=', 3)
('ele', ('i', 'k'), 'hashkey=', 15, 'hashCount=', 2)
('ele', ('i', 'l'), 'hashkey=', 16, 'hashCount=', 3)
('ele', ('j', 'k'), 'hashkey=', 16, 'hashCount=', 4)
('ele', ('j', 'l'), 'hashkey=', 17, 'hashCount=', 2)
('ele', ('k', 'l'), 'hashkey=', 18, 'hashCount=', 8)
('ele', ('a', 'c'), 'hashkey=', 19, 'hashCount=', 8)
('ele', ('a', 'e'), 'hashkey=', 1, 'hashCount=', 8)
('ele', ('c', 'e'), 'hashkey=', 3, 'hashCount=', 13)
('ele', ('b', 'c'), 'hashkey=', 0, 'hashCount=', 8)
('ele', ('b', 'd'), 'hashkey=', 1, 'hashCount=', 9)
('ele', ('b', 'e'), 'hashkey=', 2, 'hashCount=', 9)
('ele', ('c', 'd'), 'hashkey=', 2, 'hashCount=', 10)
('ele', ('c', 'e'), 'hashkey=', 3, 'hashCount=', 14)
('ele', ('d', 'e'), 'hashkey=', 4, 'hashCount=', 14)
('ele', ('a', 'c'), 'hashkey=', 19, 'hashCount=', 9)
('ele', ('a', 'b'), 'hashkey=', 18, 'hashCount=', 9)
('ele', ('a', 'c'), 'hashkey=', 19, 'hashCount=', 10)
('ele', ('b', 'c'), 'hashkey=', 0, 'hashCount=', 9)
('ele', ('a', 'b'), 'hashkey=', 18, 'hashCount=', 10)
('ele', ('a', 'f'), 'hashkey=', 2, 'hashCount=', 11)
('ele', ('b', 'f'), 'hashkey=', 3, 'hashCount=', 15)
('hashtable', {0: 9, 1: 9, 2: 11, 3: 15, 4: 14, 5: 9, 6: 10, 7: 6, 8: 9, 9: 8, 10: 9, 11: 8, 12: 5, 13: 3, 14: 3, 15: 2, 16: 4, 17: 2, 18: 10, 19: 10}, 'pass', 2)
('hashtable in bitmap', {0: 9, 1: 9, 2: 11, 3: 15, 4: 14, 5: 9, 6: 10, 7: 6, 8: 9, 9: 8, 10: 9, 11: 8, 12: 5, 13: 3, 14: 3, 15: 2, 16: 4, 17: 2, 18: 10, 19: 10})
0
('bitmap', 860159)
('line=', ['a', 'd', 'e'])
('line=', ['b', 'd', 'e', 'f'])
('line=', ['a', 'c', 'd', 'e'])
('line=', ['a', 'b', 'c', 'f', 'g', 'i'])
('line=', ['a', 'c', 'e', 'f', 'g'])
('line=', ['a', 'b'])
('line=', ['e', 'f'])
('line=', ['a', 'c', 'e'])
('line=', ['a', 'b', 'c', 'f', 'g', 'h'])
('line=', ['a', 'b', 'c'])
('line=', ['a', 'b'])
('line=', ['a', 'b', 'c'])
('line=', ['b', 'd', 'e', 'f', 'i', 'j', 'k', 'l'])
('line=', ['b', 'c', 'd', 'e', 'f', 'g', 'i', 'j', 'k', 'l'])
('line=', ['a'])
('line=', ['a', 'c', 'e'])
('line=', ['b', 'c', 'd', 'e'])
('line=', ['a', 'c'])
('line=', ['a', 'b', 'c'])
('line=', ['a', 'b', 'f'])
('previousFrequentItemsetsssssssssssssssssssssssss', ['a', 'b', 'c', 'd', 'e', 'f', 'g'])
('paaaaaas=', 2, 'subset', ('e', 'k'))
('paaaaaas=', 2, 'subset', ('d', 'e'))
('paaaaaas=', 2, 'subset', ('c', 'g'))
('paaaaaas=', 2, 'subset', ('i', 'l'))
('paaaaaas=', 2, 'subset', ('f', 'l'))
('paaaaaas=', 2, 'subset', ('b', 'l'))
('paaaaaas=', 2, 'subset', ('g', 'j'))
('paaaaaas=', 2, 'subset', ('g', 'h'))
('paaaaaas=', 2, 'subset', ('b', 'c'))
('paaaaaas=', 2, 'subset', ('c', 'k'))
('paaaaaas=', 2, 'subset', ('b', 'h'))
('paaaaaas=', 2, 'subset', ('a', 'd'))
('paaaaaas=', 2, 'subset', ('f', 'j'))
('paaaaaas=', 2, 'subset', ('a', 'i'))
('paaaaaas=', 2, 'subset', ('c', 'd'))
('paaaaaas=', 2, 'subset', ('e', 'j'))
('paaaaaas=', 2, 'subset', ('b', 'd'))
('paaaaaas=', 2, 'subset', ('c', 'f'))
('paaaaaas=', 2, 'subset', ('j', 'k'))
('paaaaaas=', 2, 'subset', ('d', 'k'))
('paaaaaas=', 2, 'subset', ('g', 'i'))
('paaaaaas=', 2, 'subset', ('d', 'f'))
('paaaaaas=', 2, 'subset', ('c', 'j'))
('paaaaaas=', 2, 'subset', ('i', 'k'))
('paaaaaas=', 2, 'subset', ('b', 'i'))
('paaaaaas=', 2, 'subset', ('a', 'g'))
('paaaaaas=', 2, 'subset', ('g', 'l'))
('paaaaaas=', 2, 'subset', ('a', 'h'))
('paaaaaas=', 2, 'subset', ('f', 'h'))
('paaaaaas=', 2, 'subset', ('b', 'e'))
('paaaaaas=', 2, 'subset', ('c', 'e'))
('paaaaaas=', 2, 'subset', ('j', 'l'))
('paaaaaas=', 2, 'subset', ('e', 'f'))
('paaaaaas=', 2, 'subset', ('d', 'j'))
('paaaaaas=', 2, 'subset', ('f', 'k'))
('paaaaaas=', 2, 'subset', ('e', 'i'))
('paaaaaas=', 2, 'subset', ('d', 'g'))
('paaaaaas=', 2, 'subset', ('c', 'i'))
('paaaaaas=', 2, 'subset', ('i', 'j'))
('paaaaaas=', 2, 'subset', ('b', 'j'))
('paaaaaas=', 2, 'subset', ('a', 'f'))
('paaaaaas=', 2, 'subset', ('d', 'l'))
('paaaaaas=', 2, 'subset', ('b', 'f'))
('paaaaaas=', 2, 'subset', ('a', 'b'))
('paaaaaas=', 2, 'subset', ('d', 'i'))
('paaaaaas=', 2, 'subset', ('e', 'g'))
('paaaaaas=', 2, 'subset', ('c', 'h'))
('paaaaaas=', 2, 'subset', ('k', 'l'))
('paaaaaas=', 2, 'subset', ('f', 'i'))
('paaaaaas=', 2, 'subset', ('f', 'g'))
('paaaaaas=', 2, 'subset', ('g', 'k'))
('paaaaaas=', 2, 'subset', ('a', 'c'))
('paaaaaas=', 2, 'subset', ('e', 'l'))
('paaaaaas=', 2, 'subset', ('c', 'l'))
('paaaaaas=', 2, 'subset', ('b', 'g'))
('paaaaaas=', 2, 'subset', ('a', 'e'))
('paaaaaas=', 2, 'subset', ('b', 'k'))
('candidate key', ('e', 'k'), 'frequency', 2)
('candidate key', ('d', 'e'), 'frequency', 6)
('candidate key', ('c', 'g'), 'frequency', 4)
('candidate key', ('i', 'l'), 'frequency', 2)
('candidate key', ('b', 'l'), 'frequency', 2)
('candidate key', ('g', 'j'), 'frequency', 1)
('candidate key', ('b', 'c'), 'frequency', 7)
('candidate key', ('c', 'k'), 'frequency', 1)
('candidate key', ('b', 'h'), 'frequency', 1)
('candidate key', ('a', 'd'), 'frequency', 2)
('candidate key', ('b', 'f'), 'frequency', 6)
('candidate key', ('a', 'i'), 'frequency', 1)
('candidate key', ('a', 'b'), 'frequency', 8)
('candidate key', ('e', 'j'), 'frequency', 2)
('candidate key', ('b', 'd'), 'frequency', 4)
('candidate key', ('c', 'f'), 'frequency', 4)
('candidate key', ('j', 'k'), 'frequency', 2)
('candidate key', ('d', 'k'), 'frequency', 2)
('candidate key', ('g', 'i'), 'frequency', 2)
('candidate key', ('d', 'f'), 'frequency', 3)
('candidate key', ('c', 'j'), 'frequency', 1)
('candidate key', ('b', 'i'), 'frequency', 3)
('candidate key', ('a', 'g'), 'frequency', 3)
('candidate key', ('a', 'h'), 'frequency', 1)
('candidate key', ('f', 'h'), 'frequency', 1)
('candidate key', ('b', 'e'), 'frequency', 4)
('candidate key', ('c', 'e'), 'frequency', 6)
('candidate key', ('g', 'h'), 'frequency', 1)
('candidate key', ('d', 'j'), 'frequency', 2)
('candidate key', ('b', 'g'), 'frequency', 3)
('candidate key', ('e', 'i'), 'frequency', 2)
('candidate key', ('d', 'g'), 'frequency', 1)
('candidate key', ('c', 'i'), 'frequency', 2)
('candidate key', ('k', 'l'), 'frequency', 2)
('candidate key', ('b', 'j'), 'frequency', 2)
('candidate key', ('a', 'f'), 'frequency', 4)
('candidate key', ('d', 'l'), 'frequency', 2)
('candidate key', ('e', 'f'), 'frequency', 5)
('candidate key', ('f', 'j'), 'frequency', 2)
('candidate key', ('c', 'd'), 'frequency', 3)
('candidate key', ('d', 'i'), 'frequency', 2)
('candidate key', ('e', 'g'), 'frequency', 2)
('candidate key', ('c', 'h'), 'frequency', 1)
('candidate key', ('f', 'i'), 'frequency', 3)
('candidate key', ('f', 'g'), 'frequency', 4)
('candidate key', ('a', 'c'), 'frequency', 10)
('candidate key', ('e', 'l'), 'frequency', 2)
('candidate key', ('c', 'l'), 'frequency', 1)
('candidate key', ('f', 'k'), 'frequency', 2)
('candidate key', ('a', 'e'), 'frequency', 5)
('candidate key', ('b', 'k'), 'frequency', 2)
('frequent itemsets for pass=', 2, [('a', 'b'), ('a', 'c'), ('a', 'e'), ('a', 'f'), ('b', 'c'), ('b', 'd'), ('b', 'e'), ('b', 'f'), ('c', 'e'), ('c', 'f'), ('c', 'g'), ('d', 'e'), ('e', 'f'), ('f', 'g')])
('ele', ('a', 'd', 'e'), 'hashkey=', 1, 'hashCount=', 1)
('ele', ('b', 'd', 'e'), 'hashkey=', 2, 'hashCount=', 1)
('ele', ('b', 'd', 'f'), 'hashkey=', 3, 'hashCount=', 1)
('ele', ('b', 'e', 'f'), 'hashkey=', 4, 'hashCount=', 1)
('ele', ('d', 'e', 'f'), 'hashkey=', 6, 'hashCount=', 1)
('ele', ('a', 'c', 'd'), 'hashkey=', 19, 'hashCount=', 1)
('ele', ('a', 'c', 'e'), 'hashkey=', 0, 'hashCount=', 1)
('ele', ('a', 'd', 'e'), 'hashkey=', 1, 'hashCount=', 2)
('ele', ('c', 'd', 'e'), 'hashkey=', 3, 'hashCount=', 2)
('ele', ('a', 'b', 'c'), 'hashkey=', 17, 'hashCount=', 1)
('ele', ('a', 'b', 'f'), 'hashkey=', 0, 'hashCount=', 2)
('ele', ('a', 'b', 'g'), 'hashkey=', 1, 'hashCount=', 3)
('ele', ('a', 'b', 'i'), 'hashkey=', 3, 'hashCount=', 3)
('ele', ('a', 'c', 'f'), 'hashkey=', 1, 'hashCount=', 4)
('ele', ('a', 'c', 'g'), 'hashkey=', 2, 'hashCount=', 2)
('ele', ('a', 'c', 'i'), 'hashkey=', 4, 'hashCount=', 2)
('ele', ('a', 'f', 'g'), 'hashkey=', 5, 'hashCount=', 1)
('ele', ('a', 'f', 'i'), 'hashkey=', 7, 'hashCount=', 1)
('ele', ('a', 'g', 'i'), 'hashkey=', 8, 'hashCount=', 1)
('ele', ('b', 'c', 'f'), 'hashkey=', 2, 'hashCount=', 3)
('ele', ('b', 'c', 'g'), 'hashkey=', 3, 'hashCount=', 4)
('ele', ('b', 'c', 'i'), 'hashkey=', 5, 'hashCount=', 2)
('ele', ('b', 'f', 'g'), 'hashkey=', 6, 'hashCount=', 2)
('ele', ('b', 'f', 'i'), 'hashkey=', 8, 'hashCount=', 2)
('ele', ('b', 'g', 'i'), 'hashkey=', 9, 'hashCount=', 1)
('ele', ('c', 'f', 'g'), 'hashkey=', 7, 'hashCount=', 2)
('ele', ('c', 'f', 'i'), 'hashkey=', 9, 'hashCount=', 2)
('ele', ('c', 'g', 'i'), 'hashkey=', 10, 'hashCount=', 1)
('ele', ('f', 'g', 'i'), 'hashkey=', 13, 'hashCount=', 1)
('ele', ('a', 'c', 'e'), 'hashkey=', 0, 'hashCount=', 3)
('ele', ('a', 'c', 'f'), 'hashkey=', 1, 'hashCount=', 5)
('ele', ('a', 'c', 'g'), 'hashkey=', 2, 'hashCount=', 4)
('ele', ('a', 'e', 'f'), 'hashkey=', 3, 'hashCount=', 5)
('ele', ('a', 'e', 'g'), 'hashkey=', 4, 'hashCount=', 3)
('ele', ('a', 'f', 'g'), 'hashkey=', 5, 'hashCount=', 3)
('ele', ('c', 'e', 'f'), 'hashkey=', 5, 'hashCount=', 4)
('ele', ('c', 'e', 'g'), 'hashkey=', 6, 'hashCount=', 3)
('ele', ('c', 'f', 'g'), 'hashkey=', 7, 'hashCount=', 3)
('ele', ('e', 'f', 'g'), 'hashkey=', 9, 'hashCount=', 3)
('ele', ('a', 'c', 'e'), 'hashkey=', 0, 'hashCount=', 4)
('ele', ('a', 'b', 'c'), 'hashkey=', 17, 'hashCount=', 2)
('ele', ('a', 'b', 'f'), 'hashkey=', 0, 'hashCount=', 5)
('ele', ('a', 'b', 'g'), 'hashkey=', 1, 'hashCount=', 6)
('ele', ('a', 'b', 'h'), 'hashkey=', 2, 'hashCount=', 5)
('ele', ('a', 'c', 'f'), 'hashkey=', 1, 'hashCount=', 7)
('ele', ('a', 'c', 'g'), 'hashkey=', 2, 'hashCount=', 6)
('ele', ('a', 'c', 'h'), 'hashkey=', 3, 'hashCount=', 6)
('ele', ('a', 'f', 'g'), 'hashkey=', 5, 'hashCount=', 5)
('ele', ('a', 'f', 'h'), 'hashkey=', 6, 'hashCount=', 4)
('ele', ('a', 'g', 'h'), 'hashkey=', 7, 'hashCount=', 4)
('ele', ('b', 'c', 'f'), 'hashkey=', 2, 'hashCount=', 7)
('ele', ('b', 'c', 'g'), 'hashkey=', 3, 'hashCount=', 7)
('ele', ('b', 'c', 'h'), 'hashkey=', 4, 'hashCount=', 4)
('ele', ('b', 'f', 'g'), 'hashkey=', 6, 'hashCount=', 5)
('ele', ('b', 'f', 'h'), 'hashkey=', 7, 'hashCount=', 5)
('ele', ('b', 'g', 'h'), 'hashkey=', 8, 'hashCount=', 3)
('ele', ('c', 'f', 'g'), 'hashkey=', 7, 'hashCount=', 6)
('ele', ('c', 'f', 'h'), 'hashkey=', 8, 'hashCount=', 4)
('ele', ('c', 'g', 'h'), 'hashkey=', 9, 'hashCount=', 4)
('ele', ('f', 'g', 'h'), 'hashkey=', 12, 'hashCount=', 1)
('ele', ('a', 'b', 'c'), 'hashkey=', 17, 'hashCount=', 3)
('ele', ('a', 'b', 'c'), 'hashkey=', 17, 'hashCount=', 4)
('ele', ('b', 'd', 'e'), 'hashkey=', 2, 'hashCount=', 8)
('ele', ('b', 'd', 'f'), 'hashkey=', 3, 'hashCount=', 8)
('ele', ('b', 'd', 'i'), 'hashkey=', 6, 'hashCount=', 6)
('ele', ('b', 'd', 'j'), 'hashkey=', 7, 'hashCount=', 7)
('ele', ('b', 'd', 'k'), 'hashkey=', 8, 'hashCount=', 5)
('ele', ('b', 'd', 'l'), 'hashkey=', 9, 'hashCount=', 5)
('ele', ('b', 'e', 'f'), 'hashkey=', 4, 'hashCount=', 5)
('ele', ('b', 'e', 'i'), 'hashkey=', 7, 'hashCount=', 8)
('ele', ('b', 'e', 'j'), 'hashkey=', 8, 'hashCount=', 6)
('ele', ('b', 'e', 'k'), 'hashkey=', 9, 'hashCount=', 6)
('ele', ('b', 'e', 'l'), 'hashkey=', 10, 'hashCount=', 2)
('ele', ('b', 'f', 'i'), 'hashkey=', 8, 'hashCount=', 7)
('ele', ('b', 'f', 'j'), 'hashkey=', 9, 'hashCount=', 7)
('ele', ('b', 'f', 'k'), 'hashkey=', 10, 'hashCount=', 3)
('ele', ('b', 'f', 'l'), 'hashkey=', 11, 'hashCount=', 1)
('ele', ('b', 'i', 'j'), 'hashkey=', 12, 'hashCount=', 2)
('ele', ('b', 'i', 'k'), 'hashkey=', 13, 'hashCount=', 2)
('ele', ('b', 'i', 'l'), 'hashkey=', 14, 'hashCount=', 1)
('ele', ('b', 'j', 'k'), 'hashkey=', 14, 'hashCount=', 2)
('ele', ('b', 'j', 'l'), 'hashkey=', 15, 'hashCount=', 1)
('ele', ('b', 'k', 'l'), 'hashkey=', 16, 'hashCount=', 1)
('ele', ('d', 'e', 'f'), 'hashkey=', 6, 'hashCount=', 7)
('ele', ('d', 'e', 'i'), 'hashkey=', 9, 'hashCount=', 8)
('ele', ('d', 'e', 'j'), 'hashkey=', 10, 'hashCount=', 4)
('ele', ('d', 'e', 'k'), 'hashkey=', 11, 'hashCount=', 2)
('ele', ('d', 'e', 'l'), 'hashkey=', 12, 'hashCount=', 3)
('ele', ('d', 'f', 'i'), 'hashkey=', 10, 'hashCount=', 5)
('ele', ('d', 'f', 'j'), 'hashkey=', 11, 'hashCount=', 3)
('ele', ('d', 'f', 'k'), 'hashkey=', 12, 'hashCount=', 4)
('ele', ('d', 'f', 'l'), 'hashkey=', 13, 'hashCount=', 3)
('ele', ('d', 'i', 'j'), 'hashkey=', 14, 'hashCount=', 3)
('ele', ('d', 'i', 'k'), 'hashkey=', 15, 'hashCount=', 2)
('ele', ('d', 'i', 'l'), 'hashkey=', 16, 'hashCount=', 2)
('ele', ('d', 'j', 'k'), 'hashkey=', 16, 'hashCount=', 3)
('ele', ('d', 'j', 'l'), 'hashkey=', 17, 'hashCount=', 5)
('ele', ('d', 'k', 'l'), 'hashkey=', 18, 'hashCount=', 1)
('ele', ('e', 'f', 'i'), 'hashkey=', 11, 'hashCount=', 4)
('ele', ('e', 'f', 'j'), 'hashkey=', 12, 'hashCount=', 5)
('ele', ('e', 'f', 'k'), 'hashkey=', 13, 'hashCount=', 4)
('ele', ('e', 'f', 'l'), 'hashkey=', 14, 'hashCount=', 4)
('ele', ('e', 'i', 'j'), 'hashkey=', 15, 'hashCount=', 3)
('ele', ('e', 'i', 'k'), 'hashkey=', 16, 'hashCount=', 4)
('ele', ('e', 'i', 'l'), 'hashkey=', 17, 'hashCount=', 6)
('ele', ('e', 'j', 'k'), 'hashkey=', 17, 'hashCount=', 7)
('ele', ('e', 'j', 'l'), 'hashkey=', 18, 'hashCount=', 2)
('ele', ('e', 'k', 'l'), 'hashkey=', 19, 'hashCount=', 2)
('ele', ('f', 'i', 'j'), 'hashkey=', 16, 'hashCount=', 5)
('ele', ('f', 'i', 'k'), 'hashkey=', 17, 'hashCount=', 8)
('ele', ('f', 'i', 'l'), 'hashkey=', 18, 'hashCount=', 3)
('ele', ('f', 'j', 'k'), 'hashkey=', 18, 'hashCount=', 4)
('ele', ('f', 'j', 'l'), 'hashkey=', 19, 'hashCount=', 3)
